year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats,max_torque_rpm,brand,prediction
2010,168000,Diesel,Individual,Manual,First Owner,14.0,2498.0,112.0,260.0,7.0,,Mahindra,401202.6131743749
2017,25000,Diesel,Individual,Manual,First Owner,21.5,1497.0,108.5,260.0,5.0,15002750,Tata,807517.406929955
2007,218463,Petrol,Individual,Automatic,First Owner,12.9,1799.0,130.0,172.0,5.0,4300,Honda,-86794.83835418732
2015,173000,Diesel,Individual,Manual,First Owner,25.1,1498.0,98.6,200.0,5.0,1750,Honda,458302.41255178617
2011,70000,Petrol,Individual,Manual,Second Owner,16.5,1172.0,65.0,96.0,5.0,,Tata,-48115.2260312296
2019,12584,Diesel,Dealer,Manual,First Owner,16.55,2498.0,105.0,247.0,6.0,18002000,Mahindra,1145185.3118332778
2011,35000,Petrol,Individual,Manual,First Owner,18.0,995.0,62.0,90.3,5.0,4200,Chevrolet,4954.486907893093
2012,70000,Petrol,Individual,Manual,Second Owner,18.5,1197.0,85.8,114.0,5.0,4000,Maruti,244378.05447004642
2011,72000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,62.0,5.0,3000,Maruti,94299.28008471825
2016,58000,Diesel,Individual,Manual,First Owner,19.67,1582.0,126.2,259.9,5.0,19002750,Hyundai,999051.9503350616
2018,49000,Diesel,Individual,Automatic,First Owner,22.0,1582.0,126.2,259.87,5.0,15003000,Hyundai,1182673.6512953816
2019,20000,Petrol,Dealer,Automatic,First Owner,22.37,2487.0,214.56,202.0,5.0,36005200,Lexus,5149999.999999995
2017,24500,Diesel,Dealer,Manual,First Owner,25.8,1498.0,98.6,200.0,5.0,1750,Honda,880860.145229476
2009,110000,Petrol,Individual,Manual,First Owner,20.36,1197.0,78.9,111.7,5.0,4000,Hyundai,80602.86581273645
2019,9500,Petrol,Individual,Manual,First Owner,18.16,1196.0,86.8,112.0,5.0,4000,Ford,834701.497461231
2017,17000,Petrol,Individual,Automatic,First Owner,9.5,3604.0,280.0,347.0,5.0,4300,Jeep,3486571.909304593
2014,25000,Petrol,Individual,Manual,First Owner,16.02,1373.0,93.7,130.0,7.0,4000,Maruti,502940.8903176494
2012,185000,Diesel,Individual,Manual,Second Owner,19.4,1405.0,70.0,135.4,5.0,2500,Tata,193113.51192855823
